r,theta
29.15133643564548,24.32839314880629
29.744634061695866,24.365949373211294
30.42394264540204,24.400775335794716
31.101167172036714,24.43325430826414
31.47672702518987,24.47170656329619
31.769163729255514,24.510276955294685
31.803216204335737,24.54978503865689
31.89270014110012,24.589251472772116
31.927442011257025,24.62857458061741
32.03226118108752,24.66739915701352
32.30028781547195,24.704565960622297
32.03551454092168,24.7428728353857
32.439063037037855,24.77905656099877
32.50087821124817,24.81673411564912
32.61274751672943,24.855081856958304
32.742796160174386,24.89321542294914
32.751613151132965,24.931692185467423
32.771251054400786,24.97015868240169
32.839279881650846,25.008522439884338
32.995484146724095,25.046506572668772
33.159993810895514,25.08425413014231
33.33020105950702,25.12181828064603
33.34536835253862,25.159609126974516
33.482859982290215,25.19698080384993
33.79172180550894,25.23330775537593
33.986153111750745,25.269965525663654
34.181360464734105,25.306497809352045
34.421633879154335,25.342567707834533
34.70603737689941,25.378092079640854
35.033496224451646,25.412995761608727
35.25022496492067,25.44823456274401
35.46506899066197,25.483357713887074
35.74747941174843,25.517854839954545
36.01053064574244,25.55209352175936
36.155105787190685,25.586792533665786
36.47475416044467,25.620225261653477
36.92072381486883,25.652347713203227
37.11735453872054,25.68562829106248
37.250829334440155,25.719332655404113
37.642890595736,25.751295577617107
38.07708956341846,25.782538730451915
38.40213575833746,25.8143831196975
38.76544837595336,25.845661861360846
39.16596252591483,25.876330402061672
39.601171018594364,25.906358410779447
39.720353314873826,25.937994174511577
39.87902788031062,25.969409443473854
40.16284167375746,26.000087582255595
40.489541707893586,26.03027312973942
40.85252501284263,26.059948925741466
41.25083378478969,26.08907689281726
41.64248443424948,26.117950603854055
42.004133585468075,26.146818301684355
42.4001726704116,26.175169996170652
42.54930870590585,26.204592262653303
42.72013461281458,26.23388080816945
42.92729676009495,26.262911386236294
43.170272048334965,26.291639178048378
43.398542709017825,26.320238948284093
43.58711399152836,26.348890821309862
43.79276203553419,26.37734273170923
43.983168595116574,26.405730265394034
44.01008032906214,26.43400001464785
43.867466483939616,26.462499712675218
43.778892965689515,26.49118635543498
43.734825730870746,26.51996682501938
43.522412943788545,26.548441464191164
43.34561743700744,26.57717185245873
43.204876453322846,26.606113454971894
43.03676348699963,26.634994332680538
42.76249601288426,26.66366907731501
42.42654273673674,26.692146656465948
42.083867736709955,26.720849939384856
41.60489940791015,26.748612872732643
41.1083697361803,26.77662204713946
40.408392336339894,26.802336974010167
39.73606618494559,26.82894018392125
39.09281796323865,26.85643888266204
38.35120089518863,26.882563094043835
37.55459654318835,26.908297276006756
36.78393003399616,26.9351281846303
36.040865302818865,26.963086290292484
35.220136457917214,26.989620398066084
34.3085134170549,27.01465516196904
33.41955788857623,27.04103905365889
32.555126813657076,27.06884431234863
31.599124811119037,27.094412169294955
30.6566027807453,27.121294040300995
29.73762894196273,27.149859088717772
28.821851505676495,27.17942097444064
27.916650585642103,27.210336278731646
26.962340050193887,27.240195659852425
25.993266452843727,27.270633109563683
24.96224441569061,27.298946052940188
23.9632530339688,27.330092542371226
23.125602341742194,27.370095565165876
22.17413217987181,27.406392761859973
21.228166458040622,27.444778172467736
20.316363853206365,27.48667558964872
19.31019693560108,27.524923766642722
18.334301218064205,27.567303474704207
17.408291657821596,27.615160267248214
16.455661324319266,27.663457009834314
15.461648573258506,27.712034248367562
14.509067488675212,27.76713501317067
13.621416812813399,27.83067923130897
12.907298203166802,27.909016178748494
12.016943953028715,27.97918426269685
11.150940356999266,28.057960360486074
10.494470717864015,28.157450980422816
10.053352752782656,28.272344658946217
9.779992818269598,28.39649889862673
9.52430397389636,28.52434283063114
9.412614267139661,28.657023031456387
9.404722777963089,28.7910445408602
9.545752864118727,28.923284423577883
9.762989565334253,29.051968586004566
10.182778449172774,29.171123348382658
10.772659970201056,29.277510009256332
11.408946198367763,29.37561101045271
12.126364771825791,29.463732840795824
12.927105925428195,29.541483334547593
13.766871241477604,29.611911505690895
14.65460840679651,29.674903128339533
15.535542688556196,29.73457005228943
16.433546504630993,29.789727210942218
17.21524973107289,29.848509875851846
18.053347638736973,29.90189631709825
19.012163092117316,29.94604901166192
20.004449648095328,29.98589294000768
20.98571702550687,30.024310539697776
21.94049701910592,30.062650367825437
22.924815716203202,30.097745822573383
23.938964203666618,30.129684543841865
24.98135573372743,30.158651413880033
26.0430208933483,30.185277427317512
27.12143015941255,30.209817319075622
28.173736266616885,30.23490732654659
29.242495316843407,30.258177122590435
30.32596783774706,30.279795195878474
31.369073394377534,30.302660147417303
32.41278282884277,30.32481423440518
33.46155607247764,30.345942403905795
34.35880224332778,30.372044823871807
35.28291524668752,30.396652039246426
36.257885650599796,30.418980449649915
37.18988622626826,30.441928513862827
38.07082662188292,30.465881253724465
38.97261497038527,30.488738125268135
39.85747700992123,30.511397129621386
40.64848411961905,30.53577337992478
41.30912007908077,30.561927974688643
41.97277590492913,30.587655051465322
42.639893258598086,30.612930467125828
43.25034043852216,30.63860174826438
43.883390744039026,30.66361563772526
44.4977890634838,30.688517828579712
45.081744020791426,30.713380507142624
45.59258468256461,30.738793851135277
45.985963304596645,30.76478699360626
46.30769672752924,30.79119350888657
46.6612623829625,30.817217772360664
47.01917318201523,30.842989693073733
47.300972596669446,30.86903766183303
47.533896261955185,30.8950430952637
47.63502241364685,30.921443862484985
47.70326322588315,30.947794273931798
47.714258107321996,30.97421041757924
47.75851973074674,31.000595990706334
47.83595575315544,31.02691442177206
47.74273623635923,31.053164578912213
47.652965472980675,31.079520660971767
47.5964079443958,31.10595778985831
47.56938543762278,31.132433397960604
47.40794965818338,31.15875438157447
47.27622562495984,31.185229825177853
47.159109804434706,31.211806259445193
47.07241043744074,31.238488578728084
46.86637857881616,31.264960647710335
46.667586947632195,31.29154299152612
46.37341657264829,31.317886683124982
46.11105210717275,31.344544472900584
45.86083523660678,31.37140585293448
45.616353133596455,31.39840153220039
45.26499810802599,31.425037804640535
44.98685827921462,31.452229930702693
44.871532051192695,31.480163814642786
44.72829819551004,31.508052708777218
44.51225179630601,31.535880427618473
44.39415086820062,31.564062635619756
44.390599976272256,31.59245332430328
44.44726856601195,31.620797399856677
44.54434321591154,31.649038064154865
44.45836499460151,31.677278009333968
44.416131329396926,31.705618668444206
44.44835737214337,31.733974719649698
44.45774264293237,31.762273221929526
44.4018291136139,31.790612188994494
44.4185654040929,31.81896670132119
44.53861829618916,31.84717363054612
44.572678875244215,31.87538809239438
44.58521886822893,31.903658664234065
44.727811735039005,31.931691940108497
44.8185457301798,31.95967817277548
44.84045948300337,31.987787870758794
44.77580316203495,32.01586964841459
44.89137296991452,32.04365931485721
